nama_toko,nama_produk,harga_produk,jumlah_review,banyak_ukuran
Burberry Beauty,Burberry Women's - Burberry Her Eau De Parfum Gift Set,3300000,0,1
Jean Paul Gaultier,Scandal Absolu Pour Homme Parfum Concentré,2300000,2,1
Kate Spade,Chérie Je T'Aime Eau De Parfum,2000000,0,2
Versace,Dylan Blue Pour Femme Ovetto Eau De Parfum,420000,361,1
Narciso Rodriguez,For Her Musc Nude EDP XMAS Set 2024,2980000,0,1
Kayali,Yum Mini Duo (Limited Edition),590000,1,1
BVLGARI,Omnia Amethyste EDT Spring 2025 Gift Set,2810000,0,1
MCM,MCM Collection Darling Doxie,2680000,0,1
Gucci Beauty,Gucci Bloom Parfum,3650000,454,4
Kayali,Marrakesh In A Bottle Orange Blossom | 24 Eau De Parfum,2115000,257,1
Gucci Beauty,Gucci Love Edition Guilty Eau De Parfum Pour Homme (Limited Edition),2700000,337,1
Kate Spade,Travel Spray Set Mini (Holiday Limited Edition),800000,5,1
Burberry Beauty,Hero Eau De Parfum Gift Set (Limited Edition),2550000,0,1
Rabanne,Million Gold Eau De Parfum Intense,1600000,146,2
Tom Ford Beauty,Tuscan Leather Eau De Parfum,5490000,567,1
Tom Ford Beauty,Café Rose Eau De Parfum,2050000,555,1
MCM,MCM Collection Zen Elephant,2680000,0,1
Marc Jacobs Fragrances,Perfect Eau De Parfum Gift Set (Limited Edition),2209000,0,1
Marc Jacobs Fragrances,Daisy Love Eau De Toilette Gift Set (Limited Edition),2209000,0,1
NUXE,Huile Prodigieuse Florale,895000,46,1
Moschino,Toy 2 Eau De Parfum Set (Holiday Limited Edition),1832400,0,1
Marc Jacobs Fragrances,Daisy Eau So Fresh Spring Set,2664000,1,1
Yves Saint Laurent,Libre Eau De Parfum Intense,3400000,733,2
Yves Saint Laurent,LIBRE Florale & Flames Eau De Parfume,3400000,1740,2
Yves Saint Laurent,Black Opium Le Parfum,3525000,1127,1
MCM,MCM Collection Jolly Rabbit,2680000,0,1
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,2250000,0,1
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,2850000,0,1
Armani Beauty,Si Eau De Parfum,2990000,0,1
Armani Beauty,Acqua Di Giò Parfum,1700000,0,1
Armani Beauty,Stronger With You Parfum,2485000,0,1
Armani Beauty,My Way Le Parfum,2255000,0,1
Ferragamo,FIAMMA,1380000,0,1
Yves Saint Laurent,Libre L'Eau Nue Parfum De Peau,2900000,893,1
Coach,Floral Eau de Parfum,1460000,199,2
DIOR,J'adore Eau de toilette,2000000,192,3
Coach,For Man Eau de Toilette,1600000,137,2
Burberry Beauty,Her London Dream Eau de Parfum,2120000,438,2
Juliette Has a Gun,Another Oud Eau De Parfum,2425000,40,1
Juliette Has a Gun,Lady Vengeance Eau De Parfum,1945000,108,2
Ferragamo,Signorina Ribelle Eau de Parfum,2350000,10,2
Ferragamo,Uomo Signature Eau de Parfum,1950000,1,1
GIVENCHY,L'Interdit Eau de Toilette,2150000,17,3
GUERLAIN,Aqua Allegoria Orange Soleia Eau De Toilette,2061000,26,1
HERMÈS,Un Jardin Sur La Lagune Eau de Toilette,2655000,56,3
Juliette Has a Gun,Moscow Mule Eau De Parfum,2780000,160,1
GUERLAIN,Aqua Allegoria Granada Salvia Eau De Toilette,2061000,6,1
GUERLAIN,Aqua Allegoria Rosa Rossa Eau De Toilette,2061000,106,1
Juliette Has a Gun,Sunny Side Up Eau De Parfum,2780000,107,2
Dolce&Gabbana,K by Dolce & Gabbana Eau de Parfum,2000000,22,1
BVLGARI,Omnia Amethyste Eau de Toilette,2980000,32,3
HERMÈS,Jour d'Hermes Eau de Parfum,1555000,69,4
HUGO BOSS,Boss Bottled Tonic Eau De Toilette,1800000,38,1
HUGO BOSS,Boss Bottled Unlimited Eau De Toilette,2000000,8,1
GUERLAIN,Aqua Allegoria Herba Fresca Eau De Toilette,2061000,4,1
